H,density,planner,method,metric,value
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.8333333333333334
20,0.35,dijkstra,shap,kendall_tau_jitter,0.7222222222222222
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,0.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,0.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,0.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,0.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,astar,cose,set_size,2.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,1.0
20,0.35,astar,lime,kendall_tau_jitter,0.5
20,0.35,astar,shap,kendall_tau_jitter,0.7222222222222222
20,0.35,bfs,lime,success_at_1,0.0
20,0.35,bfs,shap,success_at_1,1.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,1.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,1.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,1.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.0
20,0.35,bfs,shap,kendall_tau_jitter,0.0
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,1.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,1.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,1.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.8333333333333334
20,0.35,dijkstra,shap,kendall_tau_jitter,0.8333333333333334
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,1.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,1.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,1.0
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,0.0
20,0.35,astar,shap,kendall_tau_jitter,0.0
20,0.35,bfs,lime,success_at_1,1.0
20,0.35,bfs,shap,success_at_1,1.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,1.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,1.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,1.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.0
20,0.35,bfs,shap,kendall_tau_jitter,0.0
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,0.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,1.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,1.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.9047619047619048
20,0.35,dijkstra,shap,kendall_tau_jitter,0.8095238095238095
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,1.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,1.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,1.0
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,0.0
20,0.35,astar,shap,kendall_tau_jitter,0.0
20,0.35,bfs,lime,success_at_1,0.0
20,0.35,bfs,shap,success_at_1,0.0
20,0.35,bfs,lime,success_at_2,0.0
20,0.35,bfs,shap,success_at_2,0.0
20,0.35,bfs,lime,success_at_3,0.0
20,0.35,bfs,shap,success_at_3,0.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,0.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,bfs,cose,set_size,7.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,6.0
20,0.35,bfs,lime,kendall_tau_jitter,0.0
20,0.35,bfs,shap,kendall_tau_jitter,0.0
20,0.35,dijkstra,lime,success_at_1,0.0
20,0.35,dijkstra,shap,success_at_1,0.0
20,0.35,dijkstra,lime,success_at_2,0.0
20,0.35,dijkstra,shap,success_at_2,0.0
20,0.35,dijkstra,lime,success_at_3,0.0
20,0.35,dijkstra,shap,success_at_3,0.0
20,0.35,dijkstra,lime,success_at_5,0.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,dijkstra,cose,set_size,2.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,1.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.0
20,0.35,dijkstra,shap,kendall_tau_jitter,0.0
20,0.35,astar,lime,success_at_1,0.0
20,0.35,astar,shap,success_at_1,0.0
20,0.35,astar,lime,success_at_2,0.0
20,0.35,astar,shap,success_at_2,0.0
20,0.35,astar,lime,success_at_3,0.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,0.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,0.25
20,0.35,astar,cose,set_size,3.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,2.0
20,0.35,astar,lime,kendall_tau_jitter,0.0
20,0.35,astar,shap,kendall_tau_jitter,0.0
20,0.35,bfs,lime,success_at_1,1.0
20,0.35,bfs,shap,success_at_1,0.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,0.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,0.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,0.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.21212121212121213
20,0.35,bfs,shap,kendall_tau_jitter,0.9696969696969697
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,1.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,1.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,1.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.0
20,0.35,dijkstra,shap,kendall_tau_jitter,0.0
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,1.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,1.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,0.0
20,0.35,astar,shap,kendall_tau_jitter,0.0
20,0.35,bfs,lime,success_at_1,1.0
20,0.35,bfs,shap,success_at_1,1.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,1.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,1.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,1.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.1111111111111111
20,0.35,bfs,shap,kendall_tau_jitter,1.0
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,1.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,1.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,1.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.0
20,0.35,dijkstra,shap,kendall_tau_jitter,0.0
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,1.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,1.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,0.2777777777777778
20,0.35,astar,shap,kendall_tau_jitter,0.9444444444444444
20,0.35,bfs,lime,success_at_1,1.0
20,0.35,bfs,shap,success_at_1,1.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,1.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,1.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,1.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.37777777777777777
20,0.35,bfs,shap,kendall_tau_jitter,0.6444444444444445
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,1.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,1.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,1.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,1.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,0.42857142857142855
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.5555555555555556
20,0.35,dijkstra,shap,kendall_tau_jitter,0.5111111111111111
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,1.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,1.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,1.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,1.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,0.6666666666666666
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,0.0
20,0.35,astar,shap,kendall_tau_jitter,0.0
20,0.35,bfs,lime,success_at_1,1.0
20,0.35,bfs,shap,success_at_1,0.0
20,0.35,bfs,lime,success_at_2,1.0
20,0.35,bfs,shap,success_at_2,0.0
20,0.35,bfs,lime,success_at_3,1.0
20,0.35,bfs,shap,success_at_3,0.0
20,0.35,bfs,lime,success_at_5,1.0
20,0.35,bfs,shap,success_at_5,0.0
20,0.35,bfs,lime_vs_shap,jaccard_top_5,1.0
20,0.35,bfs,cose,set_size,1.0
20,0.35,bfs,cose,success,1.0
20,0.35,bfs,oracle,set_size,1.0
20,0.35,bfs,cose,min_gap_oracle,0.0
20,0.35,bfs,lime,kendall_tau_jitter,0.0
20,0.35,bfs,shap,kendall_tau_jitter,0.0
20,0.35,dijkstra,lime,success_at_1,1.0
20,0.35,dijkstra,shap,success_at_1,0.0
20,0.35,dijkstra,lime,success_at_2,1.0
20,0.35,dijkstra,shap,success_at_2,0.0
20,0.35,dijkstra,lime,success_at_3,1.0
20,0.35,dijkstra,shap,success_at_3,0.0
20,0.35,dijkstra,lime,success_at_5,1.0
20,0.35,dijkstra,shap,success_at_5,0.0
20,0.35,dijkstra,lime_vs_shap,jaccard_top_5,1.0
20,0.35,dijkstra,cose,set_size,1.0
20,0.35,dijkstra,cose,success,1.0
20,0.35,dijkstra,oracle,set_size,1.0
20,0.35,dijkstra,cose,min_gap_oracle,0.0
20,0.35,dijkstra,lime,kendall_tau_jitter,0.0
20,0.35,dijkstra,shap,kendall_tau_jitter,0.0
20,0.35,astar,lime,success_at_1,1.0
20,0.35,astar,shap,success_at_1,0.0
20,0.35,astar,lime,success_at_2,1.0
20,0.35,astar,shap,success_at_2,0.0
20,0.35,astar,lime,success_at_3,1.0
20,0.35,astar,shap,success_at_3,0.0
20,0.35,astar,lime,success_at_5,1.0
20,0.35,astar,shap,success_at_5,0.0
20,0.35,astar,lime_vs_shap,jaccard_top_5,1.0
20,0.35,astar,cose,set_size,1.0
20,0.35,astar,cose,success,1.0
20,0.35,astar,oracle,set_size,1.0
20,0.35,astar,cose,min_gap_oracle,0.0
20,0.35,astar,lime,kendall_tau_jitter,-0.2
20,0.35,astar,shap,kendall_tau_jitter,0.8
30,0.2,bfs,lime,success_at_1,0.0
30,0.2,bfs,shap,success_at_1,0.0
30,0.2,bfs,lime,success_at_2,0.0
30,0.2,bfs,shap,success_at_2,0.0
30,0.2,bfs,lime,success_at_3,0.0
30,0.2,bfs,shap,success_at_3,0.0
30,0.2,bfs,lime,success_at_5,0.0
30,0.2,bfs,shap,success_at_5,0.0
30,0.2,bfs,lime_vs_shap,jaccard_top_5,0.25
30,0.2,bfs,cose,set_size,2.0
30,0.2,bfs,cose,success,1.0
30,0.2,bfs,lime,kendall_tau_jitter,0.0
30,0.2,bfs,shap,kendall_tau_jitter,0.0
30,0.2,dijkstra,lime,success_at_1,0.0
30,0.2,dijkstra,shap,success_at_1,1.0
30,0.2,dijkstra,lime,success_at_2,0.0
30,0.2,dijkstra,shap,success_at_2,1.0
30,0.2,dijkstra,lime,success_at_3,0.0
30,0.2,dijkstra,shap,success_at_3,1.0
30,0.2,dijkstra,lime,success_at_5,0.0
30,0.2,dijkstra,shap,success_at_5,1.0
30,0.2,dijkstra,lime_vs_shap,jaccard_top_5,0.25
30,0.2,dijkstra,cose,set_size,1.0
30,0.2,dijkstra,cose,success,1.0
30,0.2,dijkstra,lime,kendall_tau_jitter,0.0
30,0.2,dijkstra,shap,kendall_tau_jitter,0.0
30,0.2,astar,lime,success_at_1,0.0
30,0.2,astar,shap,success_at_1,0.0
30,0.2,astar,lime,success_at_2,0.0
30,0.2,astar,shap,success_at_2,0.0
30,0.2,astar,lime,success_at_3,0.0
30,0.2,astar,shap,success_at_3,0.0
30,0.2,astar,lime,success_at_5,0.0
30,0.2,astar,shap,success_at_5,0.0
30,0.2,astar,lime_vs_shap,jaccard_top_5,0.25
30,0.2,astar,cose,set_size,1.0
30,0.2,astar,cose,success,1.0
30,0.2,astar,lime,kendall_tau_jitter,0.0
30,0.2,astar,shap,kendall_tau_jitter,0.0
30,0.2,bfs,lime,success_at_1,0.0
30,0.2,bfs,shap,success_at_1,1.0
30,0.2,bfs,lime,success_at_2,1.0
30,0.2,bfs,shap,success_at_2,1.0
30,0.2,bfs,lime,success_at_3,1.0
30,0.2,bfs,shap,success_at_3,1.0
30,0.2,bfs,lime,success_at_5,1.0
30,0.2,bfs,shap,success_at_5,1.0
30,0.2,bfs,lime_vs_shap,jaccard_top_5,0.25
30,0.2,bfs,cose,set_size,1.0
30,0.2,bfs,cose,success,1.0
30,0.2,bfs,lime,kendall_tau_jitter,0.0
30,0.2,bfs,shap,kendall_tau_jitter,0.0
30,0.2,dijkstra,lime,success_at_1,0.0
30,0.2,dijkstra,shap,success_at_1,0.0
30,0.2,dijkstra,lime,success_at_2,1.0
30,0.2,dijkstra,shap,success_at_2,0.0
30,0.2,dijkstra,lime,success_at_3,1.0
30,0.2,dijkstra,shap,success_at_3,0.0
30,0.2,dijkstra,lime,success_at_5,1.0
30,0.2,dijkstra,shap,success_at_5,0.0
30,0.2,dijkstra,lime_vs_shap,jaccard_top_5,0.42857142857142855
30,0.2,dijkstra,cose,set_size,9.0
30,0.2,dijkstra,cose,success,1.0
30,0.2,dijkstra,lime,kendall_tau_jitter,0.0
30,0.2,dijkstra,shap,kendall_tau_jitter,0.0
30,0.2,astar,lime,success_at_1,0.0
30,0.2,astar,shap,success_at_1,0.0
30,0.2,astar,lime,success_at_2,0.0
30,0.2,astar,shap,success_at_2,0.0
30,0.2,astar,lime,success_at_3,0.0
30,0.2,astar,shap,success_at_3,1.0
30,0.2,astar,lime,success_at_5,0.0
30,0.2,astar,shap,success_at_5,1.0
30,0.2,astar,lime_vs_shap,jaccard_top_5,0.6666666666666666
30,0.2,astar,cose,set_size,3.0
30,0.2,astar,cose,success,1.0
30,0.2,astar,lime,kendall_tau_jitter,0.0
30,0.2,astar,shap,kendall_tau_jitter,0.0
30,0.28,bfs,lime,success_at_1,0.0
30,0.28,bfs,shap,success_at_1,0.0
30,0.28,bfs,lime,success_at_2,1.0
30,0.28,bfs,shap,success_at_2,1.0
30,0.28,bfs,lime,success_at_3,1.0
30,0.28,bfs,shap,success_at_3,1.0
30,0.28,bfs,lime,success_at_5,1.0
30,0.28,bfs,shap,success_at_5,1.0
